song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
Riptide.wav,135.99917763157896,41434,627.7878787878788,0.3361712396144867,0.30629080533981323,0.09381405264139175,0.4966091811656952,0.2557566165924072,0.06541144102811813,0.2546420046299837,0.1359808178066182,0.01849078281135669,13.114699363708496,85.66669464111328,7338.783203125,3.7433860301971436,35.78230285644531,1280.373291015625,0.0018115147249773145,2.52006459236145,6.350725173950195,0.22219714522361755,0.0985836461186409,0.009718735702335835,2275.369039356661,841.3667164988415,707897.951632042,2485.0435038299984,492.2352682842267,242295.55934284467,20.43999435662574,6.977644979070288,48.68752945394479,4998.378108824739,1746.655217059262,3050804.4472803376,2.7663292401290196,3.3778292539517882,11.409730468852494,-0.03243314691909228,0.09737718335095162,0.009482315837364851,0.09502323493130804,0.05825585733721164,0.003393744914093556,2.032058546319604e-06,0.17297689616680145,0.02992100641131401,0.0001423243957106024,0.10490666329860687,0.011005408130586147,1.8819773242630382,1.138973096026985,1.2972597134732957
Rockabye.wav,103.359375,30066,626.375,0.3087279498577118,0.2922574281692505,0.08541440963745117,0.41639643907546997,0.2728274166584015,0.074434794485569,0.24064647641274636,0.15944468233046483,0.025422606723462846,15.94200325012207,89.07553100585938,7934.45068359375,3.504502773284912,25.64961051940918,657.9025268554688,-0.0023880978114902973,2.571488857269287,6.612555027008057,0.26398181915283203,0.08986937999725342,0.008076505735516548,3013.769131797011,975.2343690907156,951082.0746557661,2821.243027105138,397.52770834023784,158028.2788982412,21.471972600633052,6.923790821288652,47.93887933696099,6320.461781032314,1854.830860178411,3440397.519870184,3.3815861553692956,4.012527391954332,16.10037607118383,0.03330881724852509,0.12453127964304359,0.015508039609533921,0.14860152017221362,0.08962284958570496,0.008032255167861895,1.557260111439973e-05,0.2063012421131134,0.04256020486354828,1.551396053400822e-05,0.11942479759454727,0.01426228228956461,1.5255510204081635,0.8658926260985951,0.7497700399319214
Runnin.wav,143.5546875,44054,629.3428571428572,0.6120713949203491,0.24306662380695343,0.059081386774778366,0.39207231998443604,0.26873305439949036,0.07221745699644089,0.24050844177981087,0.15965281947394677,0.02548902276598064,43.037803649902344,329.5340881347656,108592.71875,10.111140251159668,33.160552978515625,1099.6221923828125,0.0015926529886201024,4.066786766052246,16.538755416870117,0.4175935685634613,0.11174066364765167,0.012485976330935955,2063.353188550007,934.548546509324,873380.9857826901,2488.1736582676995,618.8918280067779,383027.0947735711,20.15722717280502,8.085752021671945,65.37938575597195,4728.729739351538,2186.788095737035,4782042.175657206,3.598219350309903,4.220923762076372,17.81619740526095,0.028579694524471243,0.1440065079594338,0.020737874334670465,0.0408168355746904,0.040231824681254816,0.0016185997171832243,-5.544508894672617e-05,0.354131281375885,0.12540896236896515,5.7395267504034564e-05,0.18541695177555084,0.03437944874167442,1.6683537414965985,1.0024803650123442,1.0049668822352826
Savage Love.wav,151.99908088235293,43627,614.4647887323944,0.34068503975868225,0.3130365312099457,0.09799186140298843,0.4578614830970764,0.28735867142677307,0.0825750082731247,0.2427565124084908,0.15621334455352906,0.02440260901659959,9.349313735961914,81.91934967041016,6710.779296875,0.8119801878929138,35.56024932861328,1264.5313720703125,-0.00442086486145854,3.850752592086792,14.828295707702637,0.1820283830165863,0.09315959364175797,0.008678710088133812,2536.6034786363552,885.0934028842511,783390.3318292232,2651.042256903052,444.86339274487415,197903.43820448013,21.931915404827432,7.512467410444302,56.43716659298771,5655.915799450948,1787.7090958658116,3195903.8114413572,1.9985060140465212,2.602983335260633,6.775522243644569,0.012182242559217798,0.13710395065122719,0.01879749328417414,0.10670986116486068,0.06619046278130013,0.004381177363202677,1.0701260180212557e-06,0.12751825153827667,0.0162609051913023,9.347322702524252e-06,0.12480876594781876,0.015577227808535099,2.736471655328799,1.5074432291990556,2.272385089258077
Say you Won't Let Go.wav,112.34714673913044,36223,635.4912280701755,0.2918489873409271,0.301357239484787,0.09081617742776871,0.41052868962287903,0.2808537483215332,0.07887883484363556,0.23702003974897906,0.16478723885885618,0.02715483409072572,15.630670547485352,82.11934661865234,6743.5869140625,4.625348091125488,34.80534362792969,1211.411865234375,0.0013207568554207683,2.7049367427825928,7.316683292388916,0.25609755516052246,0.06139104440808296,0.00376886036247015,1873.0701536815238,749.5676938324564,561851.727637307,2305.6343561974427,502.784992333051,252792.74851534615,22.68582923731158,6.8986170114517575,47.590916670691584,4019.8673590787057,1915.6067985230422,3669549.406547699,2.9451215441053855,3.1941473133569755,10.202577059425586,-0.0020624243615190033,0.14675511099036312,0.021537062601793795,0.07917563612616099,0.04238252989493323,0.0017962788402949084,4.750174866785528e-06,0.2006503790616989,0.04026057571172714,6.295365892583504e-05,0.11016464233398438,0.0121362479403615,2.3161904761904766,1.705866812429489,2.909981581748345
See You Again.wav,161.4990234375,45450,614.1891891891892,0.46759921312332153,0.29819250106811523,0.0889187753200531,0.3464728891849518,0.27167728543281555,0.07380854338407516,0.22926228216877848,0.17541989427683713,0.030772139308096715,19.759408950805664,135.76718139648438,18432.728515625,7.514432430267334,31.876277923583984,1016.0971069335938,-0.004454988520592451,3.5183238983154297,12.378602981567383,0.2873176038265228,0.07241478562355042,0.0052439006976783276,2155.935616663373,861.4178981196216,742040.7952008267,2431.0057448016396,477.7354037243172,228231.11597163638,20.533693876527675,8.24743089778655,68.02011641376427,4749.146282562161,1881.694255346077,3540773.270602427,3.1326777808049373,3.6138288848445166,13.059759208936562,-0.000669588381328983,0.15343615892304757,0.02354265486505871,0.06634162454044118,0.047327107973632564,0.0022398551491478753,2.0055849745403975e-06,0.2437792420387268,0.05942831560969353,0.00034866572241298854,0.11684143543243408,0.013651921413838863,1.8703673469387756,1.0146741588126065,1.0295636485620705
Shape of You.wav,129.19921875,38290,617.5806451612904,0.3350751996040344,0.30136600136756897,0.09082145988941193,0.44182947278022766,0.253500759601593,0.06426263600587845,0.2576934805965222,0.13010535496813025,0.016927403391383176,25.70395851135254,178.3155059814453,31796.41796875,4.959483623504639,30.114322662353516,906.8723754882812,-0.008609136566519737,3.302035093307495,10.903435707092285,0.31432169675827026,0.12585145235061646,0.015838587656617165,2153.2078614344364,861.8815532929159,742839.8119066093,2382.1367395293464,441.8001197050742,195187.34577141792,20.125516477819815,7.188392342280474,51.67298446655655,4537.814227124855,1852.9359595106032,3433371.6700474797,3.9262207732931107,4.745777050110082,22.522399809351548,-0.01815900447577679,0.09427724106225795,0.008888198182311095,0.08630597849748452,0.05397170129719869,0.0029129445409140395,-4.8290370614267886e-05,0.2387683391571045,0.05701032280921936,-0.0005105421296320856,0.16256673634052277,0.026427945122122765,2.3161904761904757,1.474181413924983,2.1732108411618616
SICKO MODE.wav,151.99908088235293,49168,638.5454545454545,0.43936803936958313,0.30044156312942505,0.09026513993740082,0.4483192265033722,0.27248314023017883,0.07424705475568771,0.24531432013859503,0.1521651000337208,0.023154217668272255,30.565914154052734,252.61270141601562,63813.17578125,4.802104473114014,28.018959045410156,785.0620727539062,0.0030883699655532837,3.9719808101654053,15.776631355285645,0.34258008003234863,0.1497824639081955,0.022434787824749947,3053.888341063808,1160.0854440544863,1345798.2375070949,2918.467775669794,506.2984527490792,256338.12325611158,20.538202482931478,8.129458637264039,66.08809773498689,6659.909728437016,1891.4766343185063,3577683.858172864,3.4398532284772334,4.16158989915972,17.31883048878821,-0.012338298946107374,0.088372066349497,0.007809622110879901,0.1240291063999613,0.10044779375598918,0.010089759270445739,-4.091579103260301e-05,0.28348463773727417,0.08036353439092636,0.00020629051141440868,0.18630126118659973,0.034708160907030106,2.703963718820862,1.4665653320988132,2.1508138733141022
SO DONE.wav,143.5546875,44115,639.3478260869565,0.40343567728996277,0.29186397790908813,0.08518458157777786,0.48581939935684204,0.26433464884757996,0.06987281143665314,0.25024882396138476,0.14390573108558669,0.020708859439277187,14.668896675109863,147.927490234375,21882.54296875,7.062427520751953,28.777793884277344,828.161376953125,0.0004529096477199346,3.109234571456909,9.667339324951172,0.24226081371307373,0.09453090280294418,0.008936092257499695,2293.33836342064,717.7526653333995,515168.8885931989,2468.227951492927,449.43236113442157,201989.44723486112,21.406257867352245,8.506870247678819,72.3668414108431,5026.8279367925215,1640.1826361789201,2690199.080022832,3.0004067912156622,3.433089581632033,11.786104075510407,-0.007179246808120238,0.07162330277512874,0.005129897500417765,0.09535505454237617,0.04346667467044189,0.001889351806906035,-0.00018989009549841285,0.19173583388328552,0.03676263242959976,0.00015062515740282834,0.11653291434049606,0.013579919934272766,2.067736961451247,1.1259517383964914,1.267767317198081
Something Just Like This.wav,103.359375,31058,647.0416666666666,0.4342542588710785,0.2988576889038086,0.08931591361761093,0.47754815220832825,0.2629398703575134,0.06913737207651138,0.2540986186592404,0.13699352294469716,0.018767225328799268,14.409810066223145,157.54710388183594,24821.08984375,3.3336288928985596,35.85403823852539,1285.511962890625,-0.013406168669462204,2.2795612812042236,5.196399688720703,0.2173614501953125,0.13631880283355713,0.018582815304398537,2506.6580147465565,912.2096593305704,832126.4625759954,2491.8646831837414,594.583585412314,353529.6400417625,21.20555383793786,9.489840440470674,90.05707158559264,5399.875681023848,1861.5817327662176,3465486.547768873,2.600423257781223,3.465063427753336,12.006664558353698,-0.0032270297396374587,0.09624453353512928,0.009263010235394626,0.10345137746710527,0.06639175886560718,0.004407865645268929,8.548566256649792e-06,0.19100193679332733,0.036481741815805435,-0.00021149854001123458,0.11687470227479935,0.013659696094691753,3.3471564625850343,2.0692389985906896,4.281750033288599
