Song #,Song Name,Artist,dl,Anger,Sad,Happy,Tender,energy,valence,song_url,id
53,"thank u, next",Ariana Grande,0,1,2,2,3,0.653,0.412,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,3e9HZxeyfWwjeyPAMmWSSQ
54,Despacito ,"Luis Fonsi, Daddy Yankee",0,1,2,3,4,0.797,0.839,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,6habFhsOp2NvshLv26DqMb
55,I Don't Care,"Ed Sheeran, Justin Bieber",1,1,3,2,3,0.675,0.842,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,3HVWdVOQ0ZA45FuZGSfvns
56,Too Good At Goodbyes,Sam Smith,0,1,4,1,3,0.372,0.476,https://open.spotify.com/track/3VlbOrM6nYPprVvzBZllE5,3VlbOrM6nYPprVvzBZllE5
57,lovely,"Billie Eilish, Khalid",0,1,4,1,5,0.296,0.12,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,0u2P5u6lvoDfwTYjAADbn4
58,7 Years,Lukas Graham,1,2,5,1,3,0.473,0.34,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk,5kqIPrATaCc2LqxVWzQGbk
59,Don't Start Now,Dua Lipa,1,2,2,4,2,0.793,0.677,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,6WrI0LAC5M1Rw2MnX2ZvEg
60,Wake Me Up,Avicii,0,1,3,4,2,0.783,0.643,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2,0nrRP2bk19rLc0orkWPQk2
61,CAN'T STOP THE FEELING,Justin Timberlake,1,1,1,4,3,0.832,0.7,https://open.spotify.com/track/1WkMMavIMc4JZ8cfMmxHkI,1WkMMavIMc4JZ8cfMmxHkI
62,Without Me,Juice WRLD,0,2,4,1,1,0.514,0.449,https://open.spotify.com/track/6Zc5f20q7sOe1IC1c1jQvZ,6Zc5f20q7sOe1IC1c1jQvZ
63,Cold Water,"Major Lazer, Justin Bieber, MO",0,1,1,4,1,0.798,0.501,https://open.spotify.com/track/7zsXy7vlHdItvUSH8EwQss,7zsXy7vlHdItvUSH8EwQss
64,What Do You Mean,Justin Bieber,0,1,1,4,2,0.567,0.793,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs,4B0JvthVoAAuygILe3n4Bs
65,Stitches,Shawn Mendes,0,3,4,1,1,0.754,0.755,https://open.spotify.com/track/5jsw9uXEGuKyJzs0boZ1bT,5jsw9uXEGuKyJzs0boZ1bT
66,I Like it,"Cardi B, Bad Bunny, J Balvin",1,2,1,4,1,0.726,0.65,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,58q2HKrzhC3ozto2nDdN4z
67,That's What I Like,Bruno Mars,1,1,1,4,2,0.56,0.86,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,0KKkJNfGyhkQ5aFogxQAPU
68,Counting Stars,OneRepublic,0,1,1,4,1,0.705,0.477,https://open.spotify.com/track/6sy3LkhNFjJWlaeSMNwQ62,6sy3LkhNFjJWlaeSMNwQ62
69,I Fall Apart,Post Malone,0,3,4,1,2,0.538,0.291,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,75ZvA4QfFiZvzhj2xkaWAh
70,Can't Hold Us ,Macklemore & Ryan Lewis,1,2,1,3,1,0.922,0.847,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,3bidbhpOYeV4knp8AIu8Xn
71,Psycho,Post Malone,0,1,3,1,3,0.56,0.459,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,3swc6WTsr7rl9DqQKQA55C
72,See You Again,"Wiz Khalifa, Charlie Puth",1,1,4,2,1,0.481,0.283,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc,2JzZzZUQj3Qff7wapcbKjc
73,Heathens,Twenty One Pilot,1,1,4,1,3,0.396,0.548,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,6i0V12jOa3mr6uu4WYhUBr
74,One Kiss,"Dua Lipa, Calvin Harris",1,1,1,4,1,0.862,0.592,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,7ef4DlsgrMEH11cDZd32M6
75,Cheerleader,OMI,1,1,1,4,3,0.68,0.594,https://open.spotify.com/track/023OVLNzXhX0j7CxswUt6D,023OVLNzXhX0j7CxswUt6D
76,Moonlight,XXXTENTACION,0,2,4,1,2,0.537,0.711,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,0JP9xo3adEtGSdUEISiszL
77,Radioactive,Imagine Dragons,0,4,3,1,1,0.784,0.236,https://open.spotify.com/track/4G8gkOterJn0Ywt6uhqbhp,4G8gkOterJn0Ywt6uhqbhp
78,Attention,Charlie Puth,1,1,2,3,2,0.613,0.797,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50,5cF0dROlMOK5uNZtivgu50
79,Eastside,"benny blanco, Halsey, Khalid",0,1,2,3,2,0.68,0.319,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,0d2iYfpKoM0QCKvcLCkBao
80,Runaway,J Cole,0,1,3,1,2,0.757,0.0706,https://open.spotify.com/track/3eZjDYBS6oVs1z5POqjX9f,3eZjDYBS6oVs1z5POqjX9f
81,This is what you came for ,"Calvin Harris, Rihanna",1,3,1,3,1,0.928,0.465,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,0azC730Exh71aQlOt9Zj3y
82,I like me better,Lauv,1,1,1,4,4,0.505,0.419,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2P91MQbaiQOfbiz9VqhqKQ
83,Riptide,Vance Joy,1,1,3,1,4,0.731,0.51,https://open.spotify.com/track/3JvrhDOgAt6p7K8mDyZwRd,3JvrhDOgAt6p7K8mDyZwRd
84,The Hills,The Weeknd,0,2,5,1,1,0.564,0.137,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,7fBv7CLKzipRk6EC6TWHOB
85,In My Feelings,Drake,0,2,2,1,2,0.626,0.35,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2G7V7zsVDxg1yRsu7Ew9RJ
86,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",1,2,1,2,3,0.619,0.639,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2YpeDb67231RjR0MgVLzsG
87,Can't Feel my Face,The Weeknd,0,2,4,1,1,0.769,0.583,https://open.spotify.com/track/22VdIZQfgXJea34mQxlt81,22VdIZQfgXJea34mQxlt81
88,Taki Taki,"DJ Snake, Selena Gomez, Ozuna, Cardi B",0,2,1,4,1,0.801,0.617,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM
89,Hello,Adele,1,3,4,1,3,0.451,0.289,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,4sPmO7WMQUAf45kwMOtONw
90,Work From Home,"Fifth Harmony, Ty Dolla $ign",1,1,2,4,1,0.585,0.593,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,4tCtwWceOPWzenK2HAIJSb
91,Sugar,Marron 5,0,2,1,4,2,0.788,0.884,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk,2iuZJX9X9P0GKaE93xcPjk
92,We Dont Talk Anymore,"Charlie Puth, Selena Gomez",1,2,4,1,3,0.563,0.352,https://open.spotify.com/track/37FXw5QGFN7uwwsLy8uAc0,37FXw5QGFN7uwwsLy8uAc0
93,Demons,Imagine Dragons,0,4,3,1,2,0.71,0.428,https://open.spotify.com/track/3LlAyCYU26dvFZBDUIMb7a,3LlAyCYU26dvFZBDUIMb7a
94,IDGAF,Dua Lipa,1,2,2,1,1,0.544,0.51,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,76cy1WJvNGJTj78UqeA5zr
95,Chandelier,Sia,1,2,3,1,3,0.787,0.572,https://open.spotify.com/track/2s1sdSqGcKxpPr5lCl7jAV,2s1sdSqGcKxpPr5lCl7jAV
96,Youngblood,5 Seconds of Summer,0,2,1,4,1,0.854,0.152,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2iUXsYOEPhVqEBwsqP70rE
97,I Don't Wanna Live Forever,"ZAYN, Taylor Swift",0,1,4,1,2,0.445,0.106,https://open.spotify.com/track/55n9yjI6qqXh5F2mYvUc2y,55n9yjI6qqXh5F2mYvUc2y
98,Mi Gente,"J Balvin, Willy William",0,1,1,4,1,0.716,0.469,https://open.spotify.com/track/1Q4N72MNyTuKaWlDFGQ3XH,1Q4N72MNyTuKaWlDFGQ3XH
99,Rockabye,"Clean Bandit, Sean Paul, Anne-Marie",1,1,2,4,1,0.763,0.742,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,5knuzwU65gJK7IF5yJsuaW
100,Ride,Twenty One Pilots,1,3,1,4,1,0.713,0.566,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2Z8WuEywRWYTKe1NybPQEW
101,Therefore I Am,Billie Eilish,0,2,3,1,1,0.34,0.716,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,54bFM56PmE4YLRnqpW6Tha
102,positions,Ariana Grande,0,1,2,4,1,0.802,0.682,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,35mvY5S1H3J2QZyna3TFe0
103,Dakiti,"Bad Bunny, Jhay Cortez",1,1,2,3,2,0.573,0.145,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS,47EiUVwUp4C9fGccaPuUCS
104,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,0,1,1,3,1,0.66,0.471,https://open.spotify.com/track/02kDW379Yfd5PzW5A6vuGt,02kDW379Yfd5PzW5A6vuGt
105,Mood (feat. Iann dior),"24kGoldn, iann dior",1,1,2,3,1,0.722,0.756,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,3tjFYV6RSFtuktYl3ZtYcq
106,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Bbay, DaBaby",0,1,2,2,2,0.586,0.347,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,0PvFJmanyNQMseIFrU708S
107,Gucci Flip Flops,Bhad Bhabie feat. Lil Yatchy,1,2,1,2,2,0.603,0.177,https://open.spotify.com/track/3hv6ndi7uFT9L9wrhQCsqY,3hv6ndi7uFT9L9wrhQCsqY
108,WAP (feat. Megan Thee Stallion),"Cardi B, Megan, Thee Stallion",1,3,1,2,1,0.454,0.357,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,4Oun2ylbjFKMPTiaSbbCih
109,pov,Ariana Grande,0,1,1,3,4,0.534,0.173,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33,3UoULw70kMsiVXxW0L3A33
110,What You Know Bout Love,Pop Smoke ,0,1,1,3,2,0.548,0.543,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,1tkg4EHVoqnhR6iFEXb60y
111,34 + 35,Ariana Grande,0,1,1,4,1,0.585,0.485,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,6Im9k8u9iIzKMrmV7BWtlF
112,Drankin N Smokin,"Future, Lil Uzi Vert",1,1,3,2,1,0.658,0.387,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv,0k7wmahjkn389wAZdz19Cv
113,Tyler Herro,Jack Harlow,1,1,2,3,1,0.756,0.775,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB,4DuUwzP4ALMqpquHU0ltAB
114,All I Want for Christmas Is You,Mariah Carey,1,1,1,5,1,0.652,0.744,https://open.spotify.com/track/4I5Hn34v6foGP3ta9Xx0rN,4I5Hn34v6foGP3ta9Xx0rN
115,HOLIDAY,Lil Nas X,1,1,1,2,1,0.511,0.837,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli,6zFMeegAMYQo0mt8rXtrli
116,Come & Go (with Marshmello),"Juice WRLD, Marshmello",0,2,1,5,1,0.814,0.535,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,2Y0wPrPQBrGhoLn14xRYCG
117,Lonely (with benny blanco),"Justin Bieber, benny blanco",0,1,4,1,3,0.239,0.0927,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,4y4spB9m0Q6026KfkAvy9Q
118,Hawai - Remix,"Maluma, The Weeknd",1,1,2,3,1,0.788,0.609,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F,0GzuHFG4Ql6DoyxFRnIk3F
119,Wishing Well,Juice WRLD,0,3,2,1,1,0.613,0.0804,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,2U5WueTLIK5WJLD7mvDODv
120,Holy,"Justin Bieber, Chance the Rapper",0,1,1,3,3,0.704,0.372,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,5u1n1kITHCxxp8twBcZxWy
130,Put Your Records On,Ritt Momney,1,1,1,4,3,0.491,0.151,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,6AGOKlMZWLCaEJGnaROtF9
134,Heather,Conan Gray,0,1,4,1,4,0.425,0.27,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,4xqrdfXkTW4T0RauPLv3WA
135,SO DONE,The Kid LAROI,1,2,3,1,1,0.598,0.303,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC,5psEZhQu6lukjhavJo4AbC
136,Savage Love,"Jawsh 685, Jason Derulo",1,1,1,4,1,0.481,0.761,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,1xQ6trAsedVPCdbtDAmk0c
137,you broke me first,Tate McRae,1,1,4,1,2,0.374,0.0799,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,45bE4HXI0AwGZXfZtMp8JR
138,That's it,"Future, Lil Uzi Vert",1,1,1,3,1,0.532,0.599,https://open.spotify.com/track/5n6gBhdEjCuj3obgCoTEFD,5n6gBhdEjCuj3obgCoTEFD
139,Levitating (feat. DaBaby),Dua Lipa,1,1,1,4,1,0.825,0.915,https://open.spotify.com/track/463CkQjx2Zk1yXoBuierM9,463CkQjx2Zk1yXoBuierM9
140,Sofia,Clairo,0,1,3,1,1,0.619,0.641,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM,7B3z0ySL9Rr0XvZEAjWZzM
141,Watermelon Sugar,Harry Styles,1,1,1,4,1,0.816,0.557,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,6UelLqGlWMcVH1E5c4H7lY
142,Forever After All,Luke Combs,1,1,3,2,1,0.65,0.456,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew,6IBcOGPsniK3Pso1wHIhew
143,Blueberry Faygo,Lil Mosey,0,1,1,3,1,0.554,0.349,https://open.spotify.com/track/6wJYhPfqk3KGhHRG76WzOh,6wJYhPfqk3KGhHRG76WzOh
144,Runnin,"21 Savage, Metro Boomin",1,2,1,3,1,0.626,0.415,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk,5SWnsxjhdcEDc7LJjq9UHk
145,All Girls Are The Same,Juice WRLD,0,1,3,1,1,0.529,0.203,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,4VXIryQMWpIdGgYR4TrjT1
146,Dreams,Fleetwood Mac,1,1,2,2,2,0.492,0.789,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,0ofHAoxe9vBkTCp2UQIavz
147,Ride or Die,"The Knocks, Foster the People",1,1,1,4,1,0.75,0.556,https://open.spotify.com/track/3uJsg8xIH7OpWHxuJaMLJX,3uJsg8xIH7OpWHxuJaMLJX
148,Martin & Gina,Polo G,1,1,2,2,1,0.534,0.116,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,1VLtjHwRWOVJiE5Py7JxoQ
149,Bloom ,Gabriel Garzon-Montano,1,1,4,1,3,0.301,0.294,https://open.spotify.com/track/16RarFMwVlGsUTXpHhbbR3,16RarFMwVlGsUTXpHhbbR3
150,Feel Good Inc.,Gorillaz,1,1,1,4,1,0.705,0.772,https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT,0d28khcov6AiegSCpG5TuT
151,I Miss You,Blink-182,0,2,4,1,1,0.781,0.593,https://open.spotify.com/track/1oTo3ijRbaDAtrjJrGAPSw,1oTo3ijRbaDAtrjJrGAPSw
152,In Too Deep,Sum 41,0,3,1,3,1,0.844,0.766,https://open.spotify.com/track/1HNE2PX70ztbEl6MLxrpNL,1HNE2PX70ztbEl6MLxrpNL
153,Hell N Back,Bakar,1,1,1,3,2,0.684,0.72,https://open.spotify.com/track/3NRql0A1Ef4RCvT473iqgD,3NRql0A1Ef4RCvT473iqgD
154,Heat Waves,Glass Animals,0,1,1,4,2,0.525,0.531,https://open.spotify.com/track/6CDzDgIUqeDY5g8ujExx2f,6CDzDgIUqeDY5g8ujExx2f
155,Animals,Martin Garrix,1,3,2,1,1,0.868,0.0376,https://open.spotify.com/track/1TWfkGrhF7ob0nwB2M6knb,1TWfkGrhF7ob0nwB2M6knb
156,Pressure,"James Vickery, SG Lewis",1,1,2,3,1,0.574,0.731,https://open.spotify.com/track/04ToULF2xWTbVtfAUk6K7P,04ToULF2xWTbVtfAUk6K7P
157,Mystery Lady (feat. Don Toliver),"Masego, Don Toliver",0,1,1,3,1,0.494,0.624,https://open.spotify.com/track/2Ee9amLUslOwgoJWZEpSSD,2Ee9amLUslOwgoJWZEpSSD
158,Air Forces,Mustafa,1,1,3,2,3,0.333,0.432,https://open.spotify.com/track/4XD7sfXwdU4LVQ1CQDD3ZT,4XD7sfXwdU4LVQ1CQDD3ZT
159,Hit Different,"SZA, The Neptunes, Pharrell Williams",1,1,1,3,2,0.516,0.716,https://open.spotify.com/track/7Bar1kLTmsRmH6FCKKMEyU,7Bar1kLTmsRmH6FCKKMEyU
