Song Name,Artist,dl,Anger,Sad,Happy,Tender,energy,valence,song_url,id,update_frequency
Bohemian Rhapsody,Queen,0,3.0,4.0,2.0,2.0,0.402,0.228,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,7tFiyTwD0nx5a1eklYtX2J,1
I took A Pill Ibiza - Seeb Remix,"Mike Posner, Seeb",0,1.0,2.0,4.0,1.0,0.7140000000000001,0.71,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P,1MtUq6Wp1eQ8PC6BbPCj8P,1
Happier,"Marshmello, Bastille",0,1.0,2.0,4.0,1.0,0.792,0.6709999999999999,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,1
All of Me,John Legen,1,3.0,4.0,2.0,3.0,0.264,0.331,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,3U4isOIWM3VvDubwSI3y7a,1
Better Now,Post Malone,0,3.0,4.0,1.0,1.0,0.578,0.341,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,7dt6x5M1jzdTEt8oCbisTK,1
Let Me Love You,"DJ Snake, Justin Bieber",0,1.0,2.0,3.0,1.0,0.716,0.163,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,0lYBSQXN6rCTvUZvg9S0lU,1
Faded,Alan Walker,1,2.0,3.0,2.0,1.0,0.6509999999999999,0.166,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7gHs73wELdeycvS48JfIos,1
Shallow,"Lady Gaga, Bradlee Cooper",0,2.0,3.0,2.0,3.0,0.385,0.32299999999999995,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2VxeLyX666F8uXCJ0dZF8B,1
Stressed Out,Twenty One Pilot,1,3.0,3.0,2.0,1.0,0.637,0.648,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,3CRDbSIZ4r5MsZ0YwxuEkn,1
Congratulations,Post Malone,0,2.0,3.0,1.0,1.0,0.804,0.4920000000000001,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,3a1lNhkSLSkpJE4MSHpDu9,1
7 Rings,Ariana Grande,0,2.0,1.0,3.0,1.0,0.317,0.327,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,6ocbgoVGwYJhOv1GgI9NsF,1
Take Me To Church,Hozier,1,3.0,3.0,1.0,3.0,0.664,0.4370000000000001,https://open.spotify.com/track/1CS7Sd1u5tWkstBhpssyjP,1CS7Sd1u5tWkstBhpssyjP,1
SICKO MODE,Travis Scott,1,3.0,1.0,2.0,1.0,0.73,0.446,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,1
Jocelyn Flores,XXXTENTACION,1,2.0,5.0,1.0,3.0,0.391,0.4370000000000001,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,7m9OqQk4RVRkw9JJdeAw96,1
Treat You Better ,Shawn Mendes,0,1.0,3.0,2.0,2.0,0.8190000000000001,0.747,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd,3QGsuHI8jO1Rx4JWLUh9jd,1
Let Her Go,Passenger,1,1.0,4.0,1.0,5.0,0.545,0.243,https://open.spotify.com/track/0JmiBCpWc1IAc0et7Xm7FL,0JmiBCpWc1IAc0et7Xm7FL,1
Unforgettable,"French Montana, Swae Lee",1,2.0,2.0,3.0,2.0,0.769,0.733,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,3B54sVLJ402zGa6Xm4YGNe,1
Uptown Funk,"Mark Ronson, Bruno Mars",1,2.0,1.0,5.0,1.0,0.609,0.9279999999999999,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,32OlwWuMpZ6b0aN2RZOeMS,1
Stay With Me,Sam Smith,0,1.0,5.0,1.0,4.0,0.42,0.184,https://open.spotify.com/track/5Nm9ERjJZ5oyfXZTECKmRt,5Nm9ERjJZ5oyfXZTECKmRt,1
Cheap Thrills,Sia,1,1.0,3.0,3.0,2.0,0.698,0.732,https://open.spotify.com/track/3S4px9f4lceWdKf0gWciFu,3S4px9f4lceWdKf0gWciFu,1
goosebumps,Travis Scott,1,2.0,1.0,3.0,2.0,0.728,0.43,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,6gBFPUFcJLzWGx4lenP6h2,1
Girls Like You,"Maroon 5, Cardi B",0,1.0,3.0,1.0,4.0,0.541,0.44799999999999995,https://open.spotify.com/track/6V1bu6o1Yo5ZXnsCJU8Ovk,6V1bu6o1Yo5ZXnsCJU8Ovk,1
"thank u, next",Ariana Grande,0,1.0,2.0,2.0,3.0,0.653,0.41200000000000003,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,3e9HZxeyfWwjeyPAMmWSSQ,1
Despacito ,"Luis Fonsi, Daddy Yankee",0,1.0,2.0,3.0,4.0,0.797,0.8390000000000001,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,6habFhsOp2NvshLv26DqMb,1
I Don't Care,"Ed Sheeran, Justin Bieber",1,1.0,3.0,2.0,3.0,0.675,0.8420000000000001,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,3HVWdVOQ0ZA45FuZGSfvns,1
Too Good At Goodbyes,Sam Smith,0,1.0,4.0,1.0,3.0,0.3720000000000001,0.47600000000000003,https://open.spotify.com/track/3VlbOrM6nYPprVvzBZllE5,3VlbOrM6nYPprVvzBZllE5,1
lovely,"Billie Eilish, Khalid",0,1.0,4.0,1.0,5.0,0.29600000000000004,0.12,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,0u2P5u6lvoDfwTYjAADbn4,1
7 Years,Lukas Graham,1,2.0,5.0,1.0,3.0,0.473,0.34,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk,5kqIPrATaCc2LqxVWzQGbk,1
Don't Start Now,Dua Lipa,1,2.0,2.0,4.0,2.0,0.7929999999999999,0.677,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,6WrI0LAC5M1Rw2MnX2ZvEg,1
Wake Me Up,Avicii,0,1.0,3.0,4.0,2.0,0.7829999999999999,0.643,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2,0nrRP2bk19rLc0orkWPQk2,1
CAN'T STOP THE FEELING,Justin Timberlake,1,1.0,1.0,4.0,3.0,0.8320000000000001,0.7,https://open.spotify.com/track/1WkMMavIMc4JZ8cfMmxHkI,1WkMMavIMc4JZ8cfMmxHkI,1
Without Me,Juice WRLD,0,2.0,4.0,1.0,1.0,0.514,0.449,https://open.spotify.com/track/6Zc5f20q7sOe1IC1c1jQvZ,6Zc5f20q7sOe1IC1c1jQvZ,1
Cold Water,"Major Lazer, Justin Bieber, MO",0,1.0,1.0,4.0,1.0,0.7979999999999999,0.501,https://open.spotify.com/track/7zsXy7vlHdItvUSH8EwQss,7zsXy7vlHdItvUSH8EwQss,1
What Do You Mean,Justin Bieber,0,1.0,1.0,4.0,2.0,0.5670000000000001,0.7929999999999999,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs,4B0JvthVoAAuygILe3n4Bs,1
Stitches,Shawn Mendes,0,3.0,4.0,1.0,1.0,0.754,0.755,https://open.spotify.com/track/5jsw9uXEGuKyJzs0boZ1bT,5jsw9uXEGuKyJzs0boZ1bT,1
