Song Name,Artist,dl,Anger,Sad,Happy,Tender,energy,valence,song_url,id,update_frequency
Runnin,"21 Savage, Metro Boomin",1,2.0,1.0,3.0,1.0,0.626,0.415,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk,5SWnsxjhdcEDc7LJjq9UHk,1
All Girls Are The Same,Juice WRLD,0,1.0,3.0,1.0,1.0,0.529,0.203,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,4VXIryQMWpIdGgYR4TrjT1,1
Dreams,Fleetwood Mac,1,1.0,2.0,2.0,2.0,0.4920000000000001,0.789,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,0ofHAoxe9vBkTCp2UQIavz,1
Ride or Die,"The Knocks, Foster the People",1,1.0,1.0,4.0,1.0,0.75,0.556,https://open.spotify.com/track/3uJsg8xIH7OpWHxuJaMLJX,3uJsg8xIH7OpWHxuJaMLJX,1
Martin & Gina,Polo G,1,1.0,2.0,2.0,1.0,0.534,0.11599999999999999,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,1VLtjHwRWOVJiE5Py7JxoQ,1
Bloom ,Gabriel Garzon-Montano,1,1.0,4.0,1.0,3.0,0.301,0.294,https://open.spotify.com/track/16RarFMwVlGsUTXpHhbbR3,16RarFMwVlGsUTXpHhbbR3,1
Feel Good Inc.,Gorillaz,1,1.0,1.0,4.0,1.0,0.705,0.772,https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT,0d28khcov6AiegSCpG5TuT,1
I Miss You,Blink-182,0,2.0,4.0,1.0,1.0,0.7809999999999999,0.593,https://open.spotify.com/track/1oTo3ijRbaDAtrjJrGAPSw,1oTo3ijRbaDAtrjJrGAPSw,1
In Too Deep,Sum 41,0,3.0,1.0,3.0,1.0,0.8440000000000001,0.7659999999999999,https://open.spotify.com/track/1HNE2PX70ztbEl6MLxrpNL,1HNE2PX70ztbEl6MLxrpNL,1
Hell N Back,Bakar,1,1.0,1.0,3.0,2.0,0.684,0.72,https://open.spotify.com/track/3NRql0A1Ef4RCvT473iqgD,3NRql0A1Ef4RCvT473iqgD,1
Heat Waves,Glass Animals,0,1.0,1.0,4.0,2.0,0.525,0.531,https://open.spotify.com/track/6CDzDgIUqeDY5g8ujExx2f,6CDzDgIUqeDY5g8ujExx2f,1
Animals,Martin Garrix,1,3.0,2.0,1.0,1.0,0.868,0.0376,https://open.spotify.com/track/1TWfkGrhF7ob0nwB2M6knb,1TWfkGrhF7ob0nwB2M6knb,1
Pressure,"James Vickery, SG Lewis",1,1.0,2.0,3.0,1.0,0.574,0.731,https://open.spotify.com/track/04ToULF2xWTbVtfAUk6K7P,04ToULF2xWTbVtfAUk6K7P,1
Mystery Lady (feat. Don Toliver),"Masego, Don Toliver",0,1.0,1.0,3.0,1.0,0.494,0.624,https://open.spotify.com/track/2Ee9amLUslOwgoJWZEpSSD,2Ee9amLUslOwgoJWZEpSSD,1
Air Forces,Mustafa,1,1.0,3.0,2.0,3.0,0.33299999999999996,0.4320000000000001,https://open.spotify.com/track/4XD7sfXwdU4LVQ1CQDD3ZT,4XD7sfXwdU4LVQ1CQDD3ZT,1
Hit Different,"SZA, The Neptunes, Pharrell Williams",1,1.0,1.0,3.0,2.0,0.516,0.716,https://open.spotify.com/track/7Bar1kLTmsRmH6FCKKMEyU,7Bar1kLTmsRmH6FCKKMEyU,1
Godspeed,James Blake,0,1.0,4.0,1.0,2.0,0.174,0.221,https://open.spotify.com/track/5WfACgyEk4rwdWU3rrzNt1,5WfACgyEk4rwdWU3rrzNt1,1
Stay Alive,Mustafa,1,1.0,3.0,1.0,2.0,0.18,0.456,https://open.spotify.com/track/1COWb4m8g8jY7fi3wXzo5b,1COWb4m8g8jY7fi3wXzo5b,1
Psychosocial,Slipknot,1,4.0,2.0,1.0,1.0,0.9890000000000001,0.35200000000000004,https://open.spotify.com/track/2MvIMgtWyK88OiPi0J8Dg3,2MvIMgtWyK88OiPi0J8Dg3,1
Chop Suey!,System Of A Down,1,5.0,3.0,1.0,1.0,0.934,0.28600000000000003,https://open.spotify.com/track/2DlHlPMa4M17kufBvI2lEN,2DlHlPMa4M17kufBvI2lEN,1
BYOB,System Of A Down,1,5.0,2.0,1.0,1.0,0.981,0.716,https://open.spotify.com/track/0EYOdF5FCkgOJJla8DI2Md,0EYOdF5FCkgOJJla8DI2Md,1
Given Up,Linkin Park,1,4.0,3.0,1.0,1.0,0.885,0.938,https://open.spotify.com/track/1fLlRApgzxWweF1JTf8yM5,1fLlRApgzxWweF1JTf8yM5,1
In The End,Linkin Park,1,4.0,3.0,1.0,1.0,0.8640000000000001,0.4,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,60a0Rd6pjrkxjPbaKzXjfq,1
Faint ,Linkin Park,1,4.0,3.0,1.0,1.0,0.978,0.594,https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU,4Yf5bqU3NK4kNOypcrLYwU,1
GoodVibes,WizTheMac,1,1.0,1.0,4.0,1.0,0.846,0.736,https://open.spotify.com/track/1XVqh0dC0PIl72f2mQhsVt,1XVqh0dC0PIl72f2mQhsVt,1
Because I Got High,Afroman,0,1.0,1.0,5.0,2.0,0.341,0.8490000000000001,https://open.spotify.com/track/0rRboI6IRuGx56Dq3UdYY4,0rRboI6IRuGx56Dq3UdYY4,1
I want it that way,Backstreet Boys,1,1.0,2.0,4.0,1.0,0.6940000000000001,0.48200000000000004,https://open.spotify.com/track/47BBI51FKFwOMlIiX6m8ya,47BBI51FKFwOMlIiX6m8ya,1
Everybody,Mac Miller ,1,1.0,4.0,1.0,2.0,0.599,0.11199999999999999,https://open.spotify.com/track/1OuN92HcVG6NVpWbeESNB3,1OuN92HcVG6NVpWbeESNB3,1
Let it Be,Beatles,0,1.0,3.0,3.0,2.0,0.40299999999999997,0.41,https://open.spotify.com/track/7iN1s7xHE4ifF5povM6A48,7iN1s7xHE4ifF5povM6A48,1
I Got You,Bebe Rexha,1,1.0,2.0,4.0,1.0,0.887,0.349,https://open.spotify.com/track/2jB9QaPJyVdz2Q0Va8rrnU,2jB9QaPJyVdz2Q0Va8rrnU,1
Honey Bee,Blake Shelton,1,1.0,2.0,4.0,1.0,0.8490000000000001,0.723,https://open.spotify.com/track/0gY2iq0xJPRoIB1PScKSw4,0gY2iq0xJPRoIB1PScKSw4,1
All My Loving,The Beatles,0,1.0,1.0,4.0,1.0,0.563,0.9,https://open.spotify.com/track/4joiWvli4qJVEW6qZV2i2J,4joiWvli4qJVEW6qZV2i2J,1
Paradise,Coldplay,1,1.0,1.0,4.0,1.0,0.585,0.212,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D,6nek1Nin9q48AVZcWs9e9D,1
Bad day,Daniel Powter,1,1.0,2.0,3.0,1.0,0.785,0.52,https://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK,0mUyMawtxj1CJ76kn9gIZK,1
Hotel California,Eagles,1,1.0,4.0,2.0,2.0,0.508,0.609,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,40riOy7x9W7GXjyGp4pjAv,1
Lyin' Eyes,Eagles,1,1.0,3.0,2.0,2.0,0.6729999999999999,0.867,https://open.spotify.com/track/5lQKRR3MdJLtAwNBiT8Cq0,5lQKRR3MdJLtAwNBiT8Cq0,1
Kiss Me Thru The Phone,"Soulja Boy, Sammie",0,1.0,1.0,4.0,1.0,0.7120000000000001,0.795,https://open.spotify.com/track/2q4rjDy9WhaN3o9MvDbO21,2q4rjDy9WhaN3o9MvDbO21,1
Lose Yourself,Eminem,0,3.0,1.0,4.0,1.0,0.7440000000000001,0.0612,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ,5Z01UMMf7V1o0MzF86s6WJ,1
My Name Is,Eminem,0,4.0,1.0,4.0,1.0,0.68,0.815,https://open.spotify.com/track/75IN3CtuZwTHTnZvYM4qnJ,75IN3CtuZwTHTnZvYM4qnJ,1
Without Me,Eminem,0,2.0,1.0,3.0,1.0,0.669,0.662,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,7lQ8MOhq6IN2w8EYcFNSUk,1
Alive,Empire of the Sun,0,1.0,1.0,4.0,1.0,0.885,0.395,https://open.spotify.com/track/5WBnKCEsPwsvWHUZmLjS3s,5WBnKCEsPwsvWHUZmLjS3s,1
Let Me Hold You (Turn Me On),Cheat Codes,1,1.0656195248146911,1.9988082274788244,2.8814205344903066,1.6349365631798585,0.774,0.267,https://open.spotify.com/track/3aLWuWKHaTV4Ok7LKvXRYn,3aLWuWKHaTV4Ok7LKvXRYn,4
for you,jhfly,1,1.6924577373859873,2.4067223158905957,2.2093793238806816,2.030519928350321,0.493,0.47700000000000004,https://open.spotify.com/track/5hgX8pSZSOcKhsvzldsgWy,5hgX8pSZSOcKhsvzldsgWy,1
